Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,,
151,Housing 70 Black,559,9,5031,,,29-05-14,275,,128810,,987935,,,,
152,,,,49991,,,30-05-14,276,,47232,,1116745,,,,
153,Upper Cover Window,812,40,32480,10-08-12,,31-05-14,277,,39342,,1163977,705172,May,,
154,Back Cover 70,796,32,25472,,,02-06-14,278,,36078,,1203319,,,,
155,Housing 70 Black,797,9,7173,,,04-06-14,279,,58954,,1239397,,,,
156,,,,65125,,,05-06-14,280,,35496,,1298351,,,,
157,Upper Cover Qinque ,500,45,22500,10-11-12,,10-06-14,281,,57624,,1333847,,,,
158,Back cover Qinque,500,20,10000,,,13-06-14,282,,35600,,1391471,,,,
159,Housing Qinque,500,35,17500,,,14-06-14,,Cash Received burj bank,,670000,757071,,,,
160,Nest Qinque,500,20,10000,,,17-06-14,283,,80646,,837717,,,,
161,,,,60000,,,20-06-14,284,,73746,,911463,,,,
162,Upper Cover window,753,40,30120,10-13-12,,23-06-14,285,,35964,,947427,,,,
163,back Cover 70,743,32,23776,,,06-25-14,286,,28494,,975921,,,,
164,Housing 70 black,737,9,6633,,,26-06-14,287,,45060,,1020981,,,,
165,Dial blank qinque,25,12,300,,,27-06-14,288,,61198,,1082179,,,,
166,,,,60829,,,28-06-14,289,,81210,,1163389,630070,june,,
167,Upper Cover Window,444,40,17760,09-09-12,,01-07-14,290,,46454,,1209843,,,,
168,Back Cover 70,612,32,19584,,,02-07-14,291,,66616,,1276459,,,,
169,Housing 70 Black,482,9,4338,,,03-07-14,292,,120135,,1396594,,,,
170,,,,41682,,,04-07-14,293,,46988,,1443582,,,,
171,Dial Blank Qinque,1000,12,12000,10-17-12,,08-07-14,294,,34914,,1478496,,,,
172,dial Blank 70,600,9,5400,,,09-07-14,295,,46290,,1524786,,,,
173,Upper Cover Window,520,40,20800,,,10-07-14,296,,69504,,1594290,,,,
174,Back Cover 70,531,32,16992,,,17-07-14,297,,73336,,1667626,,,,
175,Housing 70 Black,560,9,5040,,,18-07-14,298,,75860,,1743486,,,,
176,,,,60232,,,17-07-14,,Cash Received,,600000,1143486,,,,
177,Dial Blank 70,2000,9,18000,10-24-12,,21-07-14,299,,3384,,1146870,,,,
178,Upper Cover Window,829,40,33160,,,27-07-14,300,,78078,,1224948,661559,july,,
179,Back Cover 70,801,32,25632,,,06-08-14,301,,76264,,1301212,,,,
180,Housing 70 Black,636,9,5724,,,16-08-14,08-08-14,H B L    1912374,,90000,1211212,,,,
181,,,,82516,,,09-08-14,302,,110410,,1321622,,,,
182,Upper Cover Window,695,40,27800,10-25-12,,12-08-14,303,,65310,,1386932,,,,
183,Back Cover 70,622,32,19904,,,12-08-14,304,,12000,,1398932,,,,
184,Housing 70 Black,640,9,5760,,,13-08-14,305,,86394,,1485326,,,,
185,,,,53464,,,15-08-14,306,,65328,,1550654,,,,
186,Upper Cover Window,563,40,22520,11-01-12,,19-08-14,18-08-14,burj bank,,660000,890654,,,,
187,Back Cover 70,537,32,17184,,,22-08-14,307,,49844,,940498,,,,
188,Housing 70 Black,545,9,4905,,,23-08-14,308,,26844,,967342,,,,
189,Dial Blank 70,2000,9,18000,,,27-08-14,309,,56046,,1023388,,,,
190,,,,62609,,,26-08-14,310,,37320,,1060708,,,,
191,Dial Blank 70,1000,9,9000,11-05-12,,28-08-14,311,,60126,,1120834,,,,
192,dial Blank Qinque,1000,12,12000,,,29-08-14,312,,12000,,1132834,657886,Aug,,
193,Upper Cover Window,823,40,32920,,,02-09-14,313,,61750,,1194584,,,,
194,Back Cover 70,769,32,24608,,,04-09-14,314,,127900,,1322484,,,,
195,Housing 70 Black,700,9,6300,,,06-09-14,315,,33264,,1355748,,,,
196,,,,84828,,,10-09-14,316,,62855,,1418603,,,,
197,Upper Cover Qinque ,506,45,22770,11-07-12,,11-09-14,317,,37480,,1456083,,,,
198,Housing Qinque,506,35,17710,,,13-09-14,318,,42068,,1498151,,,,
199,Back Cover Qinque,506,20,10120,,,17-09-14,16-09-14,burj bank 01714519,,645000,853151,,,,
200,Nest Qinque,506,20,10120,,,16-09-14,319,,42860,,896011,,,,
201,,,,60720,,,17-09-14,320,,66892,,962903,,,,
202,Upper cover window,821,40,32840,11-07-12,,18-09-14,321,,10680,,973583,,,,
203,back Cover 70,834,32,26688,,,29-09-14,322,,68591,,1042174,554340,Sep,,
204,Housing 70,820,9,7380,,,01-10-14,323,,73070,,1115244,,,,
205,,,,66908,,,02-10-14,324,,27585,,1142829,,,,
206,Upper cover window,760,40,30400,11-12-12,,03-10-14,325,,37083,,1179912,,,,
207,back Cover 70,512,32,16384,,,09-10-14,326,,57528,,1237440,,,,
208,Housing 70,502,9,4518,,,10-10-14,327,,42226,,1279666,,,,
209,,,,51302,,,14-10-14,328,,71470,,1351136,,,,
210,Upper Cover Window,472,40,18880,11-14-12,,15-10-14,329,,47135,,1398271,,,,
211,Back Cover 70,437,32,13984,,,17-10-14,17-10-14,burj bank 01714544,,485000,913271,,,,
212,Housing 70 Black,448,9,4032,,,18-10-14,330,,122250,,1035521,,,,
213,upper Cover Sohrab js,100,45,4500,,,16-10-14,331,,76810,,1112331,,,,
214,back cover sohrab js,100,20,2000,,,20-10-14,332,,44393,,1156724,,,,
215,Housing sohrab js,100,35,3500,,,21-10-14,333,,52275,,1208999,,,,
216,Nest sohrab js,100,20,2000,,,22-10-14,334,,23770,,1232769,,,,
217,,,,48896,,,27-10-14,335,,31890,,1264659,,,,
218,Dial Blank 70,1000,9,9000,11-19-12,,23-10-14,336,,19710,,1284369,,,,
219,Upper Cover window,1022,40,40880,,,30-10-14,337,,6600,,1290969,,,,
220,Back Cover 70,555,32,17760,,,31-10-14,338,,92845,,1383814,826640,oct,,
221,Housing 70 Black,1108,9,9972,,,01-11-14,339,,15020,,1398834,,,,
222,,,,77612,,,05-11-14,340,,46130,,1444964,,,,
223,Dial Blank 70,2000,9,18000,11-26-12,,06-11-14,341,,33519,,1478483,,,,
224,Upper Cover window,1004,40,40160, ,,07-11-14,342,,54594,,1533077,,,,
225,Back Cover 70,920,32,29440,,,08-11-14,343,,67170,,1600247,,,,
226,Housing 70 Black,168,9,1512,,,11-10-14,344,,56570,,1656817,,,,
227,,,,89112,,,11-11-14,345,,36231,,1693048,,,,
228,Dial Blank 70,2000,9,18000,11-29-12,,13-11-14,346,,39378,,1732426,,,,
229,Upper Cover window,563,40,22520,,,15-11-14,347,,60357,,1792783,,,,
230,Back Cover 70,555,32,17760,,,17-11-14,348,,30170,,1822953,,,,
231,Housing 70 Black,1578,9,14202,,,15-11-14,,    burj bank  01723082,,730000,1092953,,,,
232,,,,72482,,,18-11-14,349,,36866,,1129819,,,,
233,Upper Cover window,622,40,24880,12-01-12,,18-11-14,350,,87195,,1217014,,,,
234,Back Cover 70,738,32,23616,,,22-11-14,351,,66958,,1283972,,,,
235,Housing 70 Black,567,9,5103,,,25-11-14,352,,26160,,1310132,,,,
236,,,,53599,,,28-11-14,353,,97786,,1407918,,,,
237,Upper Cover window,458,40,18320,12-03-12,,01-12-14,354,,25555,,1433473,,, ,
238,Back Cover 70,503,32,16096,,,02-12-14,355,,41160,,1474633,,,,
239,Housing 70 Black,577,9,5193,,,03-12-14,356,,98075,,1572708,,,,
240,,,,39609,,,04-12-14,357,,24110,,1596818,,,,
241,Upper Cover window,1008,40,40320,12-05-12,,05-12-14,358,,45995,,1642813,,,,
242,Back Cover 70,510,32,16320,,,06-12-14,359,,32670,,1675483,,,,
243,Housing 70 Black,612,9,5508,,,06-12-14,360,,6435,,1681918,,,,
244,,,,62148,,,08-12-14,361,,64402,,1746320,,,,
245,Dial Blank 70,1500,9,13500,12-08-12,,11-12-14,362,,72450,,1818770,,,,
246,Upper Cover Qinque ,288,45,12960,,,12-12-14,363,,36330,,1855100,,,,
247,housing Qinque,288,35,10080,,,15-12-14,364,,46775,,1901875,,,,
248,Back cover qinque,288,20,5760,,,16-12-14,365,,47650,,1949525,,,,
249,Nest Qinque,288,20,5760,,,18-12-14,,Burj bank,,817000,1132525,,,,
250,Back Cover 70,716,32,22912,,,18-12-14,366,,40600,,1173125,,,,
251,Housing 70 Black,741,9,6669,,,20-12-14,367,,54506,,1227631,,,,
252,,,,77641,,,23-12-14,368,,72685,,1300316,,,,
253,Upper Cover window,1058,40,42320,12-10-12,,24-12-14,369,,33872,,1334188,,,,
254,Back Cover 70,306,32,9792,,,26-12-14,370,,24748,,1358936,,,,
255,Housing 70 Black,1038,9,9342,,,29-12-14,371,,36380,,1395316,,,,
256,,,,61454,,,29-12-14,372,,79335,,1474651,,,,
257,Upper Cover window,896,40,35840,12-12-12,,30-12-14,373,,35070,,1509721,,,,
258,Back Cover 70,849,32,27168,,,31-12-14,374,,115835,,1625556,1034638,,,
259,Housing 70 Black,881,9,7929,,,02-01-15,375,,85354,,1710910,,,,
260,,,,70937,,,03-01-15,376,,42730,,1753640,,,,
261,Upper Cover window,515,40,20600,12-15-12,,05-01-15,377,,37902,,1791542,,,,
262,Back Cover 70,519,32,16608,,,07-01-15,378,,48615,,1840157,,,,
263,Housing 70 Black,525,9,4725,,,09-01-15,379,,64680,,1904837,,,,
264,,,,41933,,,12-01-15,380,,14385,,1919222,,,,
265,Upper Cover Qinque ,504,45,22680,12-17-12,,13-01-15,381,,39030,,1958252,,,,
266,back cover Qinque,500,20,10000,,,14-01-15,382,,59290,,2017542,,,,
267,Housing Qinque,500,35,17500,,,15-01-15,383,,36000,,2053542,,,,
268,Nest Qinque,500,20,10000,,,15-01-15,384,,28390,,2081932,,,,
269,,,,60180,,,17-01-15,385,,69436,,2151368,,,,
270,Dial Blank 70,3000,8,24000,12-22-12,,16-01-15,,burj bank,,900000,1251368,,,,
271,Upper cover Window,376,40,15040,,,19-01-15,386,,21655,,1273023,,,,
272,Back Cover 70,900,30,27000,,,22-01-15,387,,45765,,1318788,,,,
273,Hoiusing 70,305,9,2745,,,23-01-15,388,,7700,,1326488,,,,
274,,,,68785,,,,,,,,,,,,
275,Upper cover Window,767,40,30680,12-27-12,,,,,,,,,,,
276,Back Cover 70,1053,30,31590,,,,,,,,,,,,
277,Hoiusing 70,686,9,6174,,,,,,,,,,,,
278,,,,68444,,,,,,,,,,,,
279,Upper Cover Window,703,40,28120,12-29-12,,,,,,,,,,,
280,Back Cover 70,703,30,21090,,,,,,,,,,,,
281,Hoiusing 70,703,9,6327,,,,,,,,,,,,
282,,,,55537,,,,,,,,,,,,
283,Upper Cover Window,473,40,18920,01-02-13,,,,,,,,,,,
284,Back Cover 70,1031,30,30930,,,,,,,,,,,,
285,Hoiusing 70,1068,8,8544,,,,,,,,,,,,
286,Dial Blank 70,3000,8,24000,,,,,,,,,,,,
287,Dial Blank Qinque,1000,12,12000,,,,,,,,,,,,
288,,,,94394,,,,,,,,,,,,
289,Upper Cover Window,537,40,21480,01-03-13,,,,,,,,,,,
290,Upper Cover Window,528,40,21120,,,,,,,,,,,,
291,Back Cover 70,525,30,15750,,,,,,,,,,,,
292,Housing 70 Black,524,8,4192,,,,,,,,,,,,
293,,,,62542,,,,,,,,,,,,
294,Upper Cover Window,526,40,21040,01-05-12,,,,,,,,,,,
295,Back Cover 70,504,30,15120,,,,,,,,,,,,
296,Hoiusing 70 Black,587,8,4696,,,,,,,,,,,,
297,Back Cover Qinque Replace,500,,0,,,,,,,,,,,,
298,,,,40856,,,,,,,,,,,,
299,Upper Cover Window,543,40,21720,01-08-13,,,,,,,,,,,
300,Upper Cover Window,232,40,9280,,,,,,,,,,,,
301,Back Cover 70,838,30,25140,,,,,,,,,,,,
302,Housing 70 Black,846,8,6768,,,,,,,,,,,,
303,,,,62908,,,,,,,,,,,,
304,Upper Cover Qinque ,522,45,23490,01-12-13,,,,,,,,,,,
305,Back cover Qinque,940,20,18800,,,,,,,,,,,,
306,Housing Qinque,944,35,33040,,,,,,,,,,,,
307,Nest Qinque,940,20,18800,,,,,,,,,,,,
308,,,,94130,,,,,,,,,,,,
309,Dial Blank 70,500,8,4000,01-16-13,,,,,,,,,,,
310,Upper Cover Window,1011,40,40440,,,,,,,,,,,,
311,Back Cover 70,1033,30,30990,,,,,,,,,,,,
312,,,,75430,,,,,,,,,,,,
313,Dial Blank 70,3000,8,24000,01-24-13,,,,,,,,,,,
314,Upper cover qinque,1002,45,45090,,,,,,,,,,,,
315,back Cover qinque,1010,20,20200,,,,,,,,,,,,
316,Nest qinque,1000,20,20000,,,,,,,,,,,,
317,Upper Cover Sohrab Js,203,45,9135,,,,,,,,,,,,
318,,,,118425,,,,,,,,,,,,
319,Dial Blank Qinque,1300,12,15600,01-28-13,,,,,,,,,,,
320,Upper Cover Window,1008,40,40320,,,,,,,,,,,,
321,Back Cover 70,1044,30,31320,,,,,,,,,,,,
322,Housing 70 Black,1086,8,8688,,,,,,,,,,,,
323,Back Cover 70,519,30,15570,,,,,,,,,,,,
324,Housing 70 Black,588,8,4704,,,,,,,,,,,,
325,Housing qinque,464,35,16240,,,,,,,,,,,,
326,,,,132442,,,,,,,,,,,,
327,Upper Cover Window,472,40,18880,01-29-13,,,,,,,,,,,
328,Housing Qinque,540,35,18900,,,,,,,,,,,,
329,Back Cover Qinque Replace,540,,0,,,,,,,,,,,,
330,,,,37780,,,,,,,,,,,,
331,Dial Blank 70,2000,8,16000,02-04-13,,,,,,,,,,,
332,Upper Cover Window,854,40,34160,,,,,,,,,,,,
333,Back Cover 70,839,30,25170,,,,,,,,,,,,
334,Hoiusing 70 Black,840,8,6720,,,,,,,,,,,,
335,,,,82050,,,,,,,,,,,,
336,Upper Cover Window,848,40,33920,02-09-13,,,,,,,,,,,
337,Back Cover 70,821,30,24630,,,,,,,,,,,,
338,Hoiusing 70 Black,893,8,7144,,,,,,,,,,,,
339,,,,65694,,,,,,,,,,,,
340,Upper Cover Window,300,40,12000,02-14-13,,,,,,,,,,,
341,Back Cover 70,333,30,9990,,,,,,,,,,,,
342,Hoiusing 70 Black,348,8,2784,,,,,,,,,,,,
343,Housing Qinque,503,35,17605,,,,,,,,,,,,
