Sr.,,Particulars,Qty,Rate,Total,Date,
52,,Upper Cover Zxmco,314,36,11304,,
53,,Back Cover 70 Gare Counter,549,30,16470,,
54,,Housing 70 Gare Counter,540,9,4860,,
55,,,,,50454,,
1,,Back Cover 70 Gare Counter,93,30,2790,23-Feb-12,
2,,upper Cover 70 New,415,36,14940,,
3,,Back Cover 70 ,705,30,21150,,
4,,Upper Cover Sohrab JS,104,48,4992,,
5,,Nest Sohrab JS,300,20,6000,,
6,,Back Cover Sohrab JS,300,20,6000,,
7,,,,,55872,,
8,,Upper Cover Zxmco,867,36,31212,01-Mar-12,
9,,Back Cover 70 Hole,568,30,17040,,
10,,,,,48252,,
11,,Upper Cover 70 New,553,36,19908,03-Mar-12,
12,,Back Cover 70 Gare Counter,506,30,15180,,
13,,Housing 70 Gare Counter,550,9,4950,,
14,,,,,40038,,
15,,Back Cover 70,243,30,7290,10-Mar-12,
16,,Cover Set 125,500,120,60000,,
17,,,,,67290,,
18,,Upper Cover 70 New,412,36,14832,12-Mar-12,
19,,Back Cover 70,399,30,11970,,
20,,,,,26802,,
21,,Upper Cover Unique,518,36,18648,16-Mar-12,
22,,Upper Cover 70 New,288,36,10368,,
23,,Upper Cpver Zxmco,170,36,6120,,
24,,Back Cover 70,297,30,8910,,
25,,,,,44046,,
26,,Upper Cover Zxmco,499,36,17964,21-Mar-12,
27,,Back Cover 70,501,30,15030,,
28,,,,,32994,,
29,,Upper Cover Zxmco,253,36,9108,22-Mar-12,
30,,Back Cover 70,306,30,9180,,
31,,,,,18288,,
32,,Upper Cover 70 ,480,36,17280,22-Mar-12,
33,,Back Cover 70,196,30,5880,,
34,,Housing 70,392,9,3528,,
35,,,,,26688,,
36,,Upper Cover Zxmco,290,36,10440,24-Mar-12,
37,,Back Cover 70,221,30,6630,,
38,,Housing 70,451,9,4059,,
39,,,,,21129,,
40,,Upper Cover Zxmco,460,36,16560,26-Mar-12,
41,,Back Cover 70,672,30,20160,,
42,,Dial Blank 70,500,8,4000,,
43,,,,,40720,,
44,,Upper Cover Zxmco,222,36,7992,28-Mar-12,
45,,Back Cover 70,501,30,15030,,
46,,,,,23022,,
47,,Back cover 70,496,30,14880,29-Mar-12,
48,,Back Cover 70 (Hole),225,30,6750,,
49,,,,,21630,,
50,,Upper Cover Zxmco,222,36,7992,31-Mar-12,
51,,Upper Cover Zxmco,415,36,14940,,
52,,Back Cover 70,231,30,6930,,
53,,,,,29862,,
1,,Upper Cover Zxmco,447,36,16092,02-Apr-12,
2,,Back Cover 70,279,30,8370,,
3,,,,,24462,,
4,,Upper Cover 70,370,36,13320,05-Apr-12,
5,,Back Cover 70,465,30,13950,,
6,,,,,27270,,
7,,Back Cover 70,382,30,11460,12-Apr-12,
8,,Upper Cover 70 window,222,36,7992,,
9,,,,,19452,,
10,,Upper Cover 70 window,370,36,13320,13-Apr-12,
11,,Back Cover 70,398,30,11940,,
12,,Housing rikshaw large,510,25,12750,,
13,,,,,38010,,
14,,Rubber Ring Large,500,10,5000,17-Apr-12,
15,,Rubber Ring Small,1000,5,5000,,
